Record_Tag,Receiver,Vendor,Sender,Name,Location,Reporting_Date,ReqDelivery_Dat,Beginning_PO_Number,Ending_PO_Number,Sequence,Line_Number,Item_Cod,CODE-QA,CODE-QW,CODE-QP,CODE-QD,CODE-QO,CODE-QC,CODE-QX,CODE-OQ,OTHER,UOM,Price,Date_Process
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,128,46,216,,0,0,,46,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,102,60,216,,1,0,,61,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,78,66,192,,5,1,,71,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,139,54,217,,33,1,,87,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,149,78,384,,4,0,,82,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,505,217,960,,0,1,,217,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,59,28,144,,0,0,,28,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,188,109,405,,0,0,,109,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,171,117,495,,0,0,,117,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,380,179,864,,0,0,,178,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,109,75,384,,0,0,,74,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,468,305,1320,,0,2,,301,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,248,118,480,,0,1,,117,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,73,28,144,,0,0,,28,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00111E+13,95,49,288,,0,0,,48,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,246,19,60,,0,0,,19,,CA,,20210827
852,DOLEDFV,,5137624388,KROGER,1.46523E+12,20210827,,,,,,1.00714E+13,41,27,140,,0,0,,26,,CA,,20210827
