DC,Item,variable,value
Atlanta,D1214SW,Plan_inc,10
Atlanta,D14DSLW,Plan_inc,10
Atlanta,D128SHD,Plan_inc,10
Atlanta,KRSLW16,Plan_inc,90
Atlanta,KRHRT10,Plan_inc,90
Atlanta,KRAMR12,Plan_inc,90
Atlanta,KRPRM10,Plan_inc,90
Atlanta,KRGRD12,Plan_inc,90
Atlanta,KRFLDG8,Plan_inc,120
Atlanta,KRGRD24,Plan_inc,60
Atlanta,KRITL10,Plan_inc,90
Atlanta,KRROM10,Plan_inc,90
Atlanta,KRVEG12,Plan_inc,90
Atlanta,KRSPN10,Plan_inc,72
Atlanta,KRSPR10,Plan_inc,72
Atlanta,KRSHDGL,Plan_inc,10
Atlanta,KR6SM5,Plan_inc,96
Atlanta,KR65050,Plan_inc,96
Atlanta,KR6SP6,Plan_inc,96
Atlanta,KRSHRD8,Plan_inc,120
Atlanta,KROSP5,Plan_inc,96
Atlanta,KROSP16,Plan_inc,45
Atlanta,KROSM5,Plan_inc,96
Atlanta,KROSM16,Plan_inc,45
Atlanta,KROROM,Plan_inc,96
Atlanta,KRO5050,Plan_inc,96
Atlanta,KROARU,Plan_inc,96
Atlanta,KROKALE,Plan_inc,96
Atlanta,KROPWRG,Plan_inc,96
Atlanta,KRO5016,Plan_inc,45
Atlanta,KRTNSPN,Plan_inc,60
Atlanta,KRCPKAL,Plan_inc,10
Atlanta,KRARTSN,Plan_inc,10
Atlanta,KRSRM8,Plan_inc,10
