DC,LAZY CODE,Date,value
Atlanta,KRSRM8,9/6/2021,60
Atlanta,D6AMER,9/7/2021,79
Atlanta,D6CAESR,9/7/2021,137.6
Atlanta,D6LFCSR,9/7/2021,76.8
Atlanta,D62ROM,9/7/2021,93.6
Atlanta,DFAMUCR,9/7/2021,83.6
Atlanta,D6CSPIN,9/7/2021,109.3333333
Atlanta,D12SPIN,9/7/2021,62
Atlanta,D6ARUGL,9/7/2021,33
Atlanta,DMSWGRP,9/7/2021,20
Atlanta,DMMCORN,9/7/2021,23.66666667
Atlanta,DMMAPLC,9/7/2021,20
Atlanta,D610AHW,9/7/2021,68
Atlanta,D10VVEG,9/7/2021,67.66666667
Atlanta,DROMFAM,9/7/2021,45.33333333
Atlanta,D6HRTS,9/7/2021,77.66666667
Atlanta,D6CPBBQ,9/7/2021,46.4
Atlanta,D6CPCHI,9/7/2021,42
Atlanta,DASICHP,9/7/2021,73.2
Atlanta,DSUNKAL,9/7/2021,73.2
Atlanta,D6BUTB,9/7/2021,97.33333333
Atlanta,DAVORCH,9/7/2021,40
Atlanta,DSWTKAL,9/7/2021,28.66666667
Atlanta,DCPPRCH,9/7/2021,45
Atlanta,DCPBUFR,9/7/2021,35
Atlanta,D6CPCSR,9/7/2021,124.4
Atlanta,D6ULCSR,9/7/2021,249.2
Atlanta,D6CPGRK,9/7/2021,53.6
Atlanta,DCPBCSR,9/7/2021,78
Atlanta,D95ROM,9/7/2021,69.66666667
Atlanta,D6ENSMR,9/7/2021,55.66666667
Atlanta,D6SWEST,9/7/2021,49
Atlanta,D1214SW,9/7/2021,54
Atlanta,D14DSLW,9/7/2021,17.33333333
Atlanta,D128SHD,9/7/2021,94.66666667
Atlanta,KRSLW16,9/7/2021,139
Atlanta,KRHRT10,9/7/2021,124.6666667
Atlanta,KRAMR12,9/7/2021,122.3333333
Atlanta,KRPRM10,9/7/2021,148
Atlanta,KRGRD12,9/7/2021,127
Atlanta,KRFLDG8,9/7/2021,115
Atlanta,KRGRD24,9/7/2021,86
Atlanta,KRITL10,9/7/2021,84
Atlanta,KRROM10,9/7/2021,90.66666667
Atlanta,KRVEG12,9/7/2021,73.66666667
Atlanta,KRSPN10,9/7/2021,89.33333333
Atlanta,KRSPR10,9/7/2021,78.66666667
Atlanta,KRSHDGL,9/7/2021,156
Atlanta,KR6SM5,9/7/2021,92.33333333
Atlanta,KR65050,9/7/2021,72.66666667
Atlanta,KR6SP6,9/7/2021,161.3333333
Atlanta,KRSHRD8,9/7/2021,333.6
Atlanta,KROSP5,9/7/2021,563.2
Atlanta,KROSP16,9/7/2021,294.8
Atlanta,KROSM5,9/7/2021,296
Atlanta,KROSM16,9/7/2021,189.6
Atlanta,KROROM,9/7/2021,120
Atlanta,KRO5050,9/7/2021,157.6
Atlanta,KROARU,9/7/2021,216
Atlanta,KROKALE,9/7/2021,89.6
Atlanta,KROPWRG,9/7/2021,146.4
Atlanta,KRO5016,9/7/2021,98.8
Atlanta,KRTNSPN,9/7/2021,305.3333333
Atlanta,KRCPKAL,9/7/2021,50
Atlanta,KRARTSN,9/7/2021,50
Atlanta,KRSRM8,9/7/2021,60
Atlanta,D6AMER,9/8/2021,113.6666667
Atlanta,D6CAESR,9/8/2021,194
Atlanta,D6LFCSR,9/8/2021,91.6
Atlanta,D62ROM,9/8/2021,134.4
Atlanta,DFAMUCR,9/8/2021,112
Atlanta,D6CSPIN,9/8/2021,157
Atlanta,D12SPIN,9/8/2021,72.33333333
Atlanta,D6ARUGL,9/8/2021,49.33333333
Atlanta,DMSWGRP,9/8/2021,20
Atlanta,DMMCORN,9/8/2021,28.66666667
Atlanta,DMMAPLC,9/8/2021,20
Atlanta,D610AHW,9/8/2021,77.66666667
Atlanta,D10VVEG,9/8/2021,75.66666667
Atlanta,DROMFAM,9/8/2021,58.33333333
Atlanta,D6HRTS,9/8/2021,100.3333333
Atlanta,D6CPBBQ,9/8/2021,50.8
Atlanta,D6CPCHI,9/8/2021,58
Atlanta,DASICHP,9/8/2021,102.4
Atlanta,DSUNKAL,9/8/2021,89.6
Atlanta,D6BUTB,9/8/2021,125
Atlanta,DAVORCH,9/8/2021,54.66666667
Atlanta,DSWTKAL,9/8/2021,33.33333333
Atlanta,DCPPRCH,9/8/2021,45
Atlanta,DCPBUFR,9/8/2021,35
Atlanta,D6CPCSR,9/8/2021,174.4
Atlanta,D6ULCSR,9/8/2021,330
Atlanta,D6CPGRK,9/8/2021,72.8
Atlanta,DCPBCSR,9/8/2021,104.8
Atlanta,D95ROM,9/8/2021,90
