DC,LAZY CODE,Date,value
Atlanta,DCPBCSR,9/2/2021,125.6
Atlanta,D95ROM,9/2/2021,107.6666667
Atlanta,D6ENSMR,9/2/2021,76.66666667
Atlanta,D6SWEST,9/2/2021,55.66666667
Atlanta,D1214SW,9/2/2021,100
Atlanta,D14DSLW,9/2/2021,33
Atlanta,D128SHD,9/2/2021,150
Atlanta,KRSLW16,9/2/2021,796
Atlanta,KRHRT10,9/2/2021,168
Atlanta,KRAMR12,9/2/2021,196.6666667
Atlanta,KRPRM10,9/2/2021,241.6666667
Atlanta,KRGRD12,9/2/2021,190.6666667
Atlanta,KRFLDG8,9/2/2021,175
Atlanta,KRGRD24,9/2/2021,129.6666667
Atlanta,KRITL10,9/2/2021,118
Atlanta,KRROM10,9/2/2021,138.6666667
Atlanta,KRVEG12,9/2/2021,106
Atlanta,KRSPN10,9/2/2021,117.3333333
Atlanta,KRSPR10,9/2/2021,100.6666667
Atlanta,KRSHDGL,9/2/2021,156
Atlanta,KR6SM5,9/2/2021,127
Atlanta,KR65050,9/2/2021,89.66666667
Atlanta,KR6SP6,9/2/2021,192.6666667
Atlanta,KRSHRD8,9/2/2021,524.8
Atlanta,KROSP5,9/2/2021,815.2
Atlanta,KROSP16,9/2/2021,432
Atlanta,KROSM5,9/2/2021,437.2
Atlanta,KROSM16,9/2/2021,273.6
Atlanta,KROROM,9/2/2021,120
Atlanta,KRO5050,9/2/2021,205.2
Atlanta,KROARU,9/2/2021,309.2
Atlanta,KROKALE,9/2/2021,140
Atlanta,KROPWRG,9/2/2021,193.6
Atlanta,KRO5016,9/2/2021,133.2
Atlanta,KRTNSPN,9/2/2021,409.6666667
Atlanta,KRCPKAL,9/2/2021,50
Atlanta,KRARTSN,9/2/2021,50
Atlanta,KRSRM8,9/2/2021,60
Atlanta,D6AMER,9/3/2021,144.6666667
Atlanta,D6CAESR,9/3/2021,224
Atlanta,D6LFCSR,9/3/2021,66.4
Atlanta,D62ROM,9/3/2021,152
Atlanta,DFAMUCR,9/3/2021,124.8
Atlanta,D6CSPIN,9/3/2021,184.3333333
Atlanta,D12SPIN,9/3/2021,105
Atlanta,D6ARUGL,9/3/2021,43.33333333
Atlanta,DMSWGRP,9/3/2021,20
Atlanta,DMMCORN,9/3/2021,27
Atlanta,DMMAPLC,9/3/2021,20
Atlanta,D610AHW,9/3/2021,98.66666667
Atlanta,D10VVEG,9/3/2021,79
Atlanta,DROMFAM,9/3/2021,78
Atlanta,D6HRTS,9/3/2021,122.6666667
Atlanta,D6CPBBQ,9/3/2021,48.4
Atlanta,D6CPCHI,9/3/2021,76.4
Atlanta,DASICHP,9/3/2021,124
Atlanta,DSUNKAL,9/3/2021,112.4
Atlanta,D6BUTB,9/3/2021,167.6666667
Atlanta,DAVORCH,9/3/2021,63
Atlanta,DSWTKAL,9/3/2021,36
Atlanta,DCPPRCH,9/3/2021,45
Atlanta,DCPBUFR,9/3/2021,35
Atlanta,D6CPCSR,9/3/2021,181.2
Atlanta,D6ULCSR,9/3/2021,411.2
Atlanta,D6CPGRK,9/3/2021,92.8
Atlanta,DCPBCSR,9/3/2021,113.6
Atlanta,D95ROM,9/3/2021,106
Atlanta,D6ENSMR,9/3/2021,85.66666667
Atlanta,D6SWEST,9/3/2021,68
Atlanta,D1214SW,9/3/2021,100
Atlanta,D14DSLW,9/3/2021,36
Atlanta,D128SHD,9/3/2021,150
Atlanta,KRSLW16,9/3/2021,186
Atlanta,KRHRT10,9/3/2021,192.3333333
Atlanta,KRAMR12,9/3/2021,193
Atlanta,KRPRM10,9/3/2021,245.6666667
Atlanta,KRGRD12,9/3/2021,198.3333333
Atlanta,KRFLDG8,9/3/2021,170.3333333
Atlanta,KRGRD24,9/3/2021,128.3333333
Atlanta,KRITL10,9/3/2021,108
Atlanta,KRROM10,9/3/2021,165.3333333
Atlanta,KRVEG12,9/3/2021,104
Atlanta,KRSPN10,9/3/2021,136.6666667
Atlanta,KRSPR10,9/3/2021,111
Atlanta,KRSHDGL,9/3/2021,156
Atlanta,KR6SM5,9/3/2021,150
Atlanta,KR65050,9/3/2021,100
Atlanta,KR6SP6,9/3/2021,234.3333333
Atlanta,KRSHRD8,9/3/2021,566
Atlanta,KROSP5,9/3/2021,978.8
Atlanta,KROSP16,9/3/2021,533.6
Atlanta,KROSM5,9/3/2021,488.4
Atlanta,KROSM16,9/3/2021,333.6
Atlanta,KROROM,9/3/2021,120
Atlanta,KRO5050,9/3/2021,234.4
Atlanta,KROARU,9/3/2021,332
Atlanta,KROKALE,9/3/2021,142.8
Atlanta,KROPWRG,9/3/2021,203.2
Atlanta,KRO5016,9/3/2021,165.2
Atlanta,KRTNSPN,9/3/2021,482
Atlanta,KRCPKAL,9/3/2021,50
Atlanta,KRARTSN,9/3/2021,50
Atlanta,KRSRM8,9/3/2021,60
Atlanta,D6AMER,9/4/2021,145.6666667
Atlanta,D6CAESR,9/4/2021,168.4
Atlanta,D6LFCSR,9/4/2021,58.4
Atlanta,D62ROM,9/4/2021,129.6
Atlanta,DFAMUCR,9/4/2021,109.2
Atlanta,D6CSPIN,9/4/2021,169.6666667
Atlanta,D12SPIN,9/4/2021,94.33333333
Atlanta,D6ARUGL,9/4/2021,35
Atlanta,DMSWGRP,9/4/2021,20
Atlanta,DMMCORN,9/4/2021,25
Atlanta,DMMAPLC,9/4/2021,20
Atlanta,D610AHW,9/4/2021,99.33333333
Atlanta,D10VVEG,9/4/2021,61.33333333
Atlanta,DROMFAM,9/4/2021,65
Atlanta,D6HRTS,9/4/2021,106.6666667
Atlanta,D6CPBBQ,9/4/2021,37.6
Atlanta,D6CPCHI,9/4/2021,68
Atlanta,DASICHP,9/4/2021,99.2
Atlanta,DSUNKAL,9/4/2021,107.2
Atlanta,D6BUTB,9/4/2021,145
Atlanta,DAVORCH,9/4/2021,44.33333333
Atlanta,DSWTKAL,9/4/2021,33
Atlanta,DCPPRCH,9/4/2021,45
Atlanta,DCPBUFR,9/4/2021,35
Atlanta,D6CPCSR,9/4/2021,168.4
Atlanta,D6ULCSR,9/4/2021,358.8
Atlanta,D6CPGRK,9/4/2021,69.2
Atlanta,DCPBCSR,9/4/2021,94.4
Atlanta,D95ROM,9/4/2021,101.6666667
Atlanta,D6ENSMR,9/4/2021,78.66666667
Atlanta,D6SWEST,9/4/2021,44.33333333
Atlanta,D1214SW,9/4/2021,100
Atlanta,D14DSLW,9/4/2021,37.66666667
Atlanta,D128SHD,9/4/2021,130.3333333
Atlanta,KRSLW16,9/4/2021,126
Atlanta,KRHRT10,9/4/2021,174
Atlanta,KRAMR12,9/4/2021,179.3333333
Atlanta,KRPRM10,9/4/2021,239
Atlanta,KRGRD12,9/4/2021,177
